City1,Lat1,Long1,City2,Lat2,Long2,Year,Passenger_Trips,Seats
Kuala Lumpur,2.74558,101.71,Alor Setar,6.18967,100.398,2018,9,611010
Kuala Lumpur,2.74558,101.71,Johor Bahru,1.64131,103.67,2018,16,1051200
Kuala Lumpur,2.74558,101.71,Penang,5.29714,100.277,2018,25,1697250
Kuala Lumpur,2.74558,101.71,Kuala Terengganu,5.38264,103.103,2018,6,407340
Kuala Lumpur,2.74558,101.71,Kuantan,3.77539,103.209,2018,4,271560
Kuala Lumpur,2.74558,101.71,Langkawi,6.32973,99.7287,2018,21,1425690
Labuan,5.30068,115.25,Kuala Lumpur,2.74558,101.71,2018,5,339450
Langkawi,6.32973,99.7287,Penang,5.29714,100.277,2018,5,328500
Langkawi,6.32973,99.7287,Kuala Lumpur,2.74558,101.71,2018,20,1314000
Langkawi,6.32973,99.7287,Johor Bahru,1.64131,103.67,2018,2,135780
Miri,4.32201,113.987,Johor Bahru,1.64131,103.67,2018,1,65700
Miri,4.32201,113.987,Kuala Lumpur,2.74558,101.71,2018,9,591300
Miri,4.32201,113.987,Kota Kinabalu,5.93721,116.051,2018,4,262800
Miri,4.32201,113.987,Kuching,1.4847,110.347,2018,8,525600
Penang,5.29714,100.277,Kota Kinabalu,5.93721,116.051,2018,2,275210
Penang,5.29714,100.277,Kuching,1.4847,110.347,2018,2,135780
Penang,5.29714,100.277,Kuala Lumpur,2.74558,101.71,2018,29,1968810
Penang,5.29714,100.277,Langkawi,6.32973,99.7287,2018,5,339450
Penang,5.29714,100.277,Johor Bahru,1.64131,103.67,2018,6,534360
Sibu,2.2616,111.985,Johor Bahru,1.64131,103.67,2018,3,203670
Sibu,2.2616,111.985,Kuala Lumpur,2.74558,101.71,2018,11,722700
Sibu,2.2616,111.985,Kota Kinabalu,5.93721,116.051,2018,1,67890
Sibu,2.2616,111.985,Kuching,1.4847,110.347,2018,5,445300
Sandakan,5.9009,118.059,Kuala Lumpur,2.74558,101.71,2018,4,262800
Sandakan,5.9009,118.059,Kota Kinabalu,5.93721,116.051,2018,6,394200
Kuala Terengganu,5.38264,103.103,Kuala Lumpur,2.74558,101.71,2018,6,394200
Tawau,4.32016,118.128,Johor Bahru,1.64131,103.67,2018,1,67890
Tawau,4.32016,118.128,Kuala Lumpur,2.74558,101.71,2018,8,712480
Tawau,4.32016,118.128,Kota Kinabalu,5.93721,116.051,2018,7,459900
Alor Setar,6.18967,100.398,Kuala Lumpur,2.74558,101.71,2019,8,543120
Alor Setar,6.18967,100.398,Johor Bahru,1.64131,103.67,2019,1,67890
Kota Kinabalu,5.93721,116.051,Kuala Lumpur,2.74558,101.71,2019,37,2430900
Kota Kinabalu,5.93721,116.051,Johor Bahru,1.64131,103.67,2019,3,197100
Kota Kinabalu,5.93721,116.051,Penang,5.29714,100.277,2019,2,135780
Kota Kinabalu,5.93721,116.051,Kota Baharu,6.16685,102.293,2019,1,65700
Kota Kinabalu,5.93721,116.051,Miri,4.32201,113.987,2019,4,262800
Kota Kinabalu,5.93721,116.051,Sibu,2.2616,111.985,2019,2,135780
Kota Kinabalu,5.93721,116.051,Tawau,4.32016,118.128,2019,8,543120
Kota Kinabalu,5.93721,116.051,Bintulu,3.12385,113.02,2019,2,131400
Kota Kinabalu,5.93721,116.051,Kuching,1.4847,110.347,2019,6,394200
Kota Kinabalu,5.93721,116.051,Sandakan,5.9009,118.059,2019,5,339450
Bintulu,3.12385,113.02,Kuala Lumpur,2.74558,101.71,2019,6,407340
Bintulu,3.12385,113.02,Kuching,1.4847,110.347,2019,5,328500
Bintulu,3.12385,113.02,Kota Kinabalu,5.93721,116.051,2019,2,135780
Ipoh,4.56797,101.092,Johor Bahru,1.64131,103.67,2019,2,131400
Johor Bahru,1.64131,103.67,Miri,4.32201,113.987,2019,1,65700
Johor Bahru,1.64131,103.67,Sibu,2.2616,111.985,2019,3,197100
Johor Bahru,1.64131,103.67,Kota Kinabalu,5.93721,116.051,2019,3,197100
Johor Bahru,1.64131,103.67,Kuching,1.4847,110.347,2019,5,328500
Johor Bahru,1.64131,103.67,Tawau,4.32016,118.128,2019,1,65700
Johor Bahru,1.64131,103.67,Kuala Lumpur,2.74558,101.71,2019,20,1357800
Johor Bahru,1.64131,103.67,Ipoh,4.56797,101.092,2019,2,131400
Johor Bahru,1.64131,103.67,Alor Setar,6.18967,100.398,2019,1,67890
Johor Bahru,1.64131,103.67,Penang,5.29714,100.277,2019,7,475230
Johor Bahru,1.64131,103.67,Langkawi,6.32973,99.7287,2019,1,137605
Kota Baharu,6.16685,102.293,Kota Kinabalu,5.93721,116.051,2019,1,65700
Kota Baharu,6.16685,102.293,Kuching,1.4847,110.347,2019,1,65700
Kota Baharu,6.16685,102.293,Kuala Lumpur,2.74558,101.71,2019,11,746790
Kuching,1.4847,110.347,Kuala Lumpur,2.74558,101.71,2019,28,2493680
Kuching,1.4847,110.347,Johor Bahru,1.64131,103.67,2019,5,328500
Kuching,1.4847,110.347,Penang,5.29714,100.277,2019,2,131400
Kuching,1.4847,110.347,Kota Baharu,6.16685,102.293,2019,1,67890
Kuching,1.4847,110.347,Bintulu,3.12385,113.02,2019,5,339450
Kuching,1.4847,110.347,Miri,4.32201,113.987,2019,10,678900
Kuching,1.4847,110.347,Kota Kinabalu,5.93721,116.051,2019,5,339450
Kuching,1.4847,110.347,Sibu,2.2616,111.985,2019,5,328500
Kuantan,3.77539,103.209,Kuala Lumpur,2.74558,101.71,2019,5,339450
Kuala Lumpur,2.74558,101.71,Kota Kinabalu,5.93721,116.051,2019,34,2308260
Kuala Lumpur,2.74558,101.71,Labuan,5.30068,115.25,2019,4,271560
Kuala Lumpur,2.74558,101.71,Sandakan,5.9009,118.059,2019,7,475230
Kuala Lumpur,2.74558,101.71,Kuching,1.4847,110.347,2019,28,1900920
Kuala Lumpur,2.74558,101.71,Bintulu,3.12385,113.02,2019,5,445300
Kuala Lumpur,2.74558,101.71,Miri,4.32201,113.987,2019,9,591300
Kuala Lumpur,2.74558,101.71,Tawau,4.32016,118.128,2019,9,591300
Kuala Lumpur,2.74558,101.71,Sibu,2.2616,111.985,2019,10,678900
Kuala Lumpur,2.74558,101.71,Alor Setar,6.18967,100.398,2019,8,543120
Kuala Lumpur,2.74558,101.71,Johor Bahru,1.64131,103.67,2019,19,1289910
Kuala Lumpur,2.74558,101.71,Penang,5.29714,100.277,2019,26,1765140
Kuala Lumpur,2.74558,101.71,Kuala Terengganu,5.38264,103.103,2019,7,459900
Kuala Lumpur,2.74558,101.71,Kuantan,3.77539,103.209,2019,5,339450
Kuala Lumpur,2.74558,101.71,Langkawi,6.32973,99.7287,2019,21,1379700
Kuala Lumpur,2.74558,101.71,Kota Baharu,6.16685,102.293,2019,12,788400
Labuan,5.30068,115.25,Kuala Lumpur,2.74558,101.71,2019,4,550420
Langkawi,6.32973,99.7287,Penang,5.29714,100.277,2019,6,394200
Langkawi,6.32973,99.7287,Ipoh,4.56797,101.092,2019,1,65700
Langkawi,6.32973,99.7287,Kuala Lumpur,2.74558,101.71,2019,20,1357800
Langkawi,6.32973,99.7287,Johor Bahru,1.64131,103.67,2019,1,65700
Malacca,2.26336,102.252,Penang,5.29714,100.277,2019,2,131400
Miri,4.32201,113.987,Johor Bahru,1.64131,103.67,2019,1,89060
Miri,4.32201,113.987,Kuala Lumpur,2.74558,101.71,2019,9,611010
Miri,4.32201,113.987,Kota Kinabalu,5.93721,116.051,2019,4,271560
Miri,4.32201,113.987,Kuching,1.4847,110.347,2019,8,525600
Penang,5.29714,100.277,Kota Kinabalu,5.93721,116.051,2019,2,131400
Penang,5.29714,100.277,Kuching,1.4847,110.347,2019,2,131400
Penang,5.29714,100.277,Kuala Lumpur,2.74558,101.71,2019,27,2404620
Penang,5.29714,100.277,Langkawi,6.32973,99.7287,2019,6,394200
Penang,5.29714,100.277,Malacca,2.26336,102.252,2019,2,135780
Penang,5.29714,100.277,Johor Bahru,1.64131,103.67,2019,7,475230
Sibu,2.2616,111.985,Johor Bahru,1.64131,103.67,2019,3,203670
Sibu,2.2616,111.985,Kuala Lumpur,2.74558,101.71,2019,11,746790
Sibu,2.2616,111.985,Kota Kinabalu,5.93721,116.051,2019,2,135780
Sibu,2.2616,111.985,Kuching,1.4847,110.347,2019,5,328500
Sandakan,5.9009,118.059,Kuala Lumpur,2.74558,101.71,2019,6,394200
Sandakan,5.9009,118.059,Kota Kinabalu,5.93721,116.051,2019,6,407340
Kuala Terengganu,5.38264,103.103,Kuala Lumpur,2.74558,101.71,2019,7,459900
Tawau,4.32016,118.128,Johor Bahru,1.64131,103.67,2019,1,65700
Tawau,4.32016,118.128,Kuala Lumpur,2.74558,101.71,2019,9,591300
Tawau,4.32016,118.128,Kota Kinabalu,5.93721,116.051,2019,8,525600
Alor Setar,6.18967,100.398,Kuala Lumpur,2.74558,101.71,2020,8,525600
Alor Setar,6.18967,100.398,Johor Bahru,1.64131,103.67,2020,1,67890
Kota Kinabalu,5.93721,116.051,Kuala Lumpur,2.74558,101.71,2020,33,2240370
Kota Kinabalu,5.93721,116.051,Johor Bahru,1.64131,103.67,2020,3,203670
Kota Kinabalu,5.93721,116.051,Penang,5.29714,100.277,2020,2,178120
Kota Kinabalu,5.93721,116.051,Kota Baharu,6.16685,102.293,2020,1,89060
Kota Kinabalu,5.93721,116.051,Miri,4.32201,113.987,2020,4,262800
Kota Kinabalu,5.93721,116.051,Sibu,2.2616,111.985,2020,2,131400
Kota Kinabalu,5.93721,116.051,Tawau,4.32016,118.128,2020,8,543120
Kota Kinabalu,5.93721,116.051,Bintulu,3.12385,113.02,2020,2,178120
Kota Kinabalu,5.93721,116.051,Kuching,1.4847,110.347,2020,6,407340
Kota Kinabalu,5.93721,116.051,Sandakan,5.9009,118.059,2020,5,339450
Bintulu,3.12385,113.02,Kuala Lumpur,2.74558,101.71,2020,5,328500
Bintulu,3.12385,113.02,Kuching,1.4847,110.347,2020,5,328500
